protein1	protein2
SYNCRIP	SRSF1
ZDHHC17	HECTD3
PCM1	ECPAS
TP53BP2	HSPA4
IRF3	FOXO1
ATM	SIAH1
SYNCRIP	TUBB3
EPS15	HSPA1B
ID2	RB1
SORT1	LAMTOR5
PLOD2	XPO7
DHX9	HNRNPH1
RASGRF1	SNRNP70
CFTR	HSPA2
CUL1	RACGAP1
SEC61B	DNAJB1
THAP1	PAWR
BCL10	UBE2V2
SMAD5	RNF103
UBE2K	VHL
HNRNPA1	HSP90AB1
RPA2	HSPA8
AKT1	HNRNPA1
ELAVL1	ANXA7
GATA2	SKP1
SRPK2	RBMX
MOV10	NDUFS3
FBXO6	SRSF1
SP1	PARP1
BTRC	WDR12
RAC1	RALBP1
MBD3	JUN
AFF2	NCK1
RPS14	IKBKE
PRPF6	THOC7
TRIM23	ARHGAP9
KLF10	CCNE1
TRAP1	PHF5A
YBX1	PHB
ACTA1	TRAF3
CDK2	YBX3
APAF1	HSP90AA1
USP21	USP8
TAF6	TAF6
TFAP4	MBD2
ATF2	VDAC1
FBXW7	SNX8
CDK2	PCBP2
ITGA6	LAMC1
HNRNPU	HSP90B1
DDB1	NUMA1
NR3C1	HDAC6
HDAC1	HSP90AB1
PSEN1	APOE
UBE2V1	XIAP
CDKN1A	TXN
CDK2	EZH2
BRCA1	DCN
LRSAM1	HSF1
NCK2	KAT6B
STMN1	PRKACG
USP8	STAT6
ARRB2	SRC
TAF7	TAF7
HIST4H4	UBE2I
HOXB5	AXIN2
MLH1	UBAP2L
RNF11	USP7
MYO10	PLA2G10
BRCA2	FLNA
BAK1	VDAC1
YWHAH	SNCAIP
KAT7	HIST1H4F
CUL3	HSPA4
SYNCRIP	MACF1
TBK1	HNRNPM
NCBP2	DHX38
HSPB1	RALA
PPP1R13B	BRCA1
LITAF	UBQLN1
MCM2	TIMM50
HDAC6	HIST1H4A
HSPA5	SP1
LATS2	NOTCH1
YY1	APP
KPNB1	AMFR
CARD11	COPS5
AGO2	NDUFS2
LCK	MAPK9
RBPJ	RPA2
PTEN	HSPA1A
KIFC3	STX1A
MOV10	SLC4A2
SERPINH1	TPM4
NFKB1	CFLAR
PKN1	DISC1
SLU7	SF1
IGBP1	S100P
GRB2	CRBN
TP53	SUMO2
ELAVL1	UBE2N
GLO1	FABP5
TP63	FBXW7
SIAH2	PIAS1
COPS5	KRT10
NOTCH1	MAML2
ENY2	ATXN7L3
RUVBL2	DNM2
HSPA8	NFKB2
REL	CALM1
HNRNPK	PABPC1
PIK3R1	EP300
HSPB1	PRDX6
LEO1	TAF7
ADD1	DST
FYN	SPHK1
EPS15	FYN
H2AFX	RAD50
RAB5C	SOAT1
CEBPG	CDK2
ASH2L	EP300
CHUK	PPP1CA
XPO1	LSM1
LYN	CASP3
PRMT3	VCP
PIN1	PABPC1
NLRC4	NLRP1
UBE2D1	USP9X
TNFRSF1B	MYLK2
