protein1	protein2
ZDHHC17	KRAS
MAP3K4	DIXDC1
DDB1	DDX5
SMAD4	IRF3
SIN3A	HDAC9
ILK	DNAJA1
SKP1	RBX1
CDC37	APP
ALYREF	RNPS1
IRAK1	ARRB1
NFE2L2	PRKCI
MYC	POLD1
SEM1	PSMC5
INPP5D	GAB2
TRPC4AP	RBX1
RAB14	TACC3
FOXO4	SIRT1
COPS5	TRIM28
SMURF1	HNRNPAB
MAD2L2	TRIM23
DAB2	APLP2
USP28	USP8
LSM10	ZNF473
INSIG2	HMGCR
VCAM1	ITGB1
SET	CCNB1
MYH10	PRKCZ
HSD17B2	HSD17B8
HNRNPM	SAMM50
VAPA	PHB2
MOV10	S100A4
NCOA6	ASH2L
INTS1	INTS10
PPP2CA	PIM1
MOV10	LIN7B
SHC1	TUBB
KPNA2	TSC22D4
EZH2	VCP
FOXC1	UBP1
CUL3	DROSHA
XPO1	EIF2B2
IKBKE	IKBKE
TRIM28	DNMT1
DHX9	HNRNPU
FYN	CDH1
PLCB1	PRKCQ
THOC2	RBM15
SNCA	LRRK2
GNAS	RUVBL1
MYC	TAF10
CDC27	NCL
BCL6	HSP90AA1
IKBKG	IRAK4
EED	RNF2
CDK5	ATM
IGBP1	GLO1
MDM2	GSN
FN1	ACOT13
ELAVL1	ERLIN2
SIN3A	PHB
DEDD2	CFLAR
HDAC1	BRCC3
MED4	HBB
ITPKB	SYNJ1
AHSA1	VIM
HGS	DECR1
CDK1	CDKN1A
SRC	SYK
RARA	ZBTB16
DNAAF4	KDM1A
TPP1	CDK1
EGFR	TLR2
SIN3B	HSP90AB1
MARK2	YWHAH
NCBP1	RBM22
BIRC5	CASP7
LEO1	PAF1
LTBR	ARHGEF18
RAC1	KPNA2
SNTA1	C3AR1
EIF2S1	PRMT7
TARBP2	TRAF4
NOTCH1	INPP5K
HCK	PTK2
SNRPC	MAGED1
ATL3	TAP1
LRRK2	LRRK2
PARK7	BAX
SF3A1	ARF6
BAG6	FANCD2
MAPK8	HDAC9
TUBG1	LAMA1
UBE2E1	HDAC6
VCP	PSMC4
ATM	RFWD3
LMNA	TRIM28
SAT1	GBP2
HGS	MED4
CBLC	SRC
CD81	EIF3E
THOC3	SRSF9
TRIM33	SMAD4
NEK1	ATRX
VAMP7	STX6
PARP1	JUN
CDKN2C	GOPC
TCF4	USP11
SPDEF	MECOM
VHL	SIRT1
THOC3	THOC6
ROCK1	CDC34
SMARCC1	NCOA3
RAD23A	PSMC5
APC	MBD4
ALOX5AP	CLIC1
NEDD4	TEAD2
NPM1	DECR1
EFNB2	PIK3CB
BAG3	UBE2K
RBBP6	RPS14
SF3A1	VHL
MAP3K11	MAP3K12
TARDBP	DSP
TRAP1	PEX14
ATR	WRN
EGFR	LSR
YAP1	ATP5IF1
XRN1	ALDOA
DCTN2	PSMC2
CPSF6	IKBKE
CCL5	CCL5
CTNNB1	FLT1
CRNKL1	SRSF1
TGFBR1	PIK3R2
HAUS2	AMOT
NABP2	TP53
FN1	RPS14
SYT6	BRCA1
SNCA	CHMP5
TBX3	TBX3
XRCC5	XRCC6
ATR	VCP
UBE2I	RB1
NDRG1	CDH1
PPP1CC	CDK2
EP300	RAD23A
S100A14	S100A16
EZH2	SRSF10
DBN1	CLTC
CD74	LPAR3
FOXO1	CREBBP
PSMD10	RHOA
BCL2L1	TP53
CRKL	ELMO2
TUBB	TGM2
MYCBP2	PAK1
ADRB2	FKBP8
SIRT7	DDX54
TAZ	H6PD
HUWE1	SFPQ
USP11	MYO6
DYRK2	UBR5
HTRA2	TIMM9
REL	DYNC1LI1
ANXA1	PRKCA
BMI1	ADNP
CD81	RPS3A
RAB5A	IKBKE
CCNB1	CDK1
TERF2	DDX39A
DDX5	SRSF6
SMURF2	RHOA
AATF	ATM
RARA	HNRNPU
ARNT	UBE2I
HIPK2	DAXX
GSK3B	RELA
SIRT7	ATM
HSF1	DAXX
CUL3	SMC1A
SKIL	SNRNP70
MRPL58	MCC
HSF4	SMARCA4
SMURF1	THRAP3
HDAC1	TBL1XR1
LMNA	CDK1
DGCR8	MAPK1
SOCS1	PTPN11
INSIG2	SCAP
RRS1	RPS6
HUWE1	MRTFB
MCM4	CUL1
CCNB1	FZR1
EP300	HDAC1
HMGB1	SOX18
AXIN2	AP1M1
SNIP1	SRSF10
CDKN2A	MCM2
ARRB2	SF3B1
ARID1A	SMARCC1
CCR3	CCL11
ABI2	RNPS1
PCNA	EXO1
MARK2	DMD
TP53	PRMT5
ZFYVE9	FHL2
PAXIP1	PLCD1
DDX5	PRPF19
EZH2	SRSF9
SIN3A	HSP90AB1
RPA2	PPP1CC
CDC14B	FZR1
TFG	ERGIC1
TOPORS	PARP1
UHRF2	CCNE1
PSEN2	CASP8
MYOCD	HSP90AA1
PARK7	CLCF1
BARD1	PIAS1
LMNA	RPA1
ABCA1	RAPGEF6
PPP1CB	WDR5
ITCH	NFE2
H2AFX	UIMC1
H2AFX	CFL1
POT1	MADD
NRG1	RNF130
SCMH1	HSPA1A
VAMP3	APP
STX3	VAMP3
MSH6	TAF10
HIF1A	PTEN
PSEN1	TCF4
NPHP1	NDUFS3
CDC37	AR
PKNOX1	APP
DLD	SHMT1
YAP1	RUNX3
HSP90AA1	PRKDC
KMT2A	TAF6
EP300	VPS18
DDIT3	KPNA2
RAB3GAP1	RXRB
AR	CALR
RPA2	HSPB1
SRF	TCF3
CUL1	HSPA4
NUDT21	SIRT2
VCP	USP10
CDKN2A	EGR1
HDAC5	PHGDH
FERMT3	SNRNP200
HSPA9	NDUFS8
ELAVL1	EAPP
MAP3K1	HNRNPM
YWHAH	CUL4A
MCM2	YWHAB
HUWE1	RACK1
EED	SMC1A
EIF4E	ECPAS
ATP5PO	IKBKE
TFG	GBP2
SOD1	GSTZ1
TIRAP	STAT3
PPARG	CHD8
ELAVL1	TFAP4
PRDX1	ACAA2
REST	MAPK8IP1
CDK2	ARID1A
CAND1	SLX4
IKBKB	TP63
LGALS3	SLC4A2
KPNA2	TP53
CSNK2A1	SQSTM1
MAP3K1	MAP3K1
TRRAP	RUVBL2
TRAF3	TFG
IGF2BP1	EIF4A3
ANXA7	SRI
LGALS3	ACTA1
PRDX5	SUMO1
RPS26	PYM1
RSRC1	CSNK2A1
CD81	PCBP2
FN1	PHGDH
FANCG	MBIP
ADH5	ADH5
SKIL	NCOR2
SMARCC2	SMARCD3
FLT4	SHC1
TRPV4	KRIT1
GSK3B	YBX3
RPA2	SH3GLB1
MAPK8IP3	STAT1
SNRPC	RBM4
SRPK2	MYCBP2
PPM1D	KDM1A
DDX5	WDR83
MIF	STUB1
ADRB2	EIF2B1
SYNCRIP	U2AF2
TRIP6	MAPKBP1
CREB3	CREB3L2
TNFRSF1A	STAT1
WDR5	KMT2B
MAP3K11	CDC37
SUZ12	FLNB
FLNA	BASP1
NOTCH1	PRPF19
BRD4	MED14
FBXO31	GHR
PPP1CA	MAPK1
ANXA6	HNRNPA1
TERF1	CLK3
CDK2	ELAVL1
HIST1H4F	KDM4A
SRF	NFKB1
HNRNPU	MYH9
NFAT5	ATM
AKT1	SETDB1
VCP	HSPA5
XPO1	DNAJB6
STK11	VPS72
HDAC7	ADNP
CHUK	FBXW7
CDC27	TAF4
VAPA	SOAT1
PRKCD	RAF1
RNF11	RIPK1
EXOSC4	SHQ1
NF2	PAK2
RARA	NR1H2
PPIF	SLC25A4
CUL1	DDX5
EPS15	MDM2
ITSN1	RNF40
MAPK1	NKX2-1
RAD1	MSH2
GOPC	CDC42
COX4I2	COX4I2
INO80	RUVBL1
NOTCH4	PSEN1
BAG3	UBE2G2
MAPK14	ETV1
SF3A1	SMARCA4
PRPF6	SRSF6
PEG10	ACVR1
DNM1	CLIC3
CTSD	SCYL2
SRSF10	SRSF6
EED	EIF3A
XPO1	SRSF1
PIAS3	SMAD4
EGFR	ARFGEF1
UBE2K	LRSAM1
ARRB1	ACTA1
TP53	HSPA5
SMAD1	SNIP1
GCLC	GCLM
MRE11	GCC2
YWHAG	EIF2A
SHC1	TUBB3
HSPA1A	TRAF2
H2AFX	XRCC5
RNF41	P4HA1
HIPK3	ARRB2
ACIN1	EVPL
ERLIN2	TIMM50
JAK1	JAK1
NCK1	GRB2
SRPK1	UBE2E2
MTOR	RPS6KB2
SORT1	GRN
ABCB1	PRKCD
CDK2	RPS19
QKI	MED16
RUVBL2	CTNNBIP1
TLE5	GYS1
TBK1	TBK1
IKBKB	EIF2AK3
RNPS1	DDX5
MAGOH	RBM22
TUBB3	MSN
PTEN	PTK2
LYN	KLF5
SUMO2	ERCC4
ELAVL1	HNRNPH1
FOXP1	MRE11
OS9	SYVN1
DAG1	UTRN
LRP1	HSP90B1
MAPK3	MAP2K7
ACOT13	PTPA
CDK2	PRDX2
SMARCD3	RARB
AARS	SBDS
FN1	TGFB1
LRRK2	DVL3
DHX9	RPS3A
VPS26A	BAG6
HGS	UBQLN1
MOV10	SMPD1
NEK6	PRDM16
OBSL1	ATP5F1B
GRB10	GIGYF1
NCOA6	VDR
USP42	TP53
RAD23B	ADSL
AKT1	CFLAR
SUPT5H	SUPT5H
CAND1	MOV10
FANCG	BLM
JUN	SMARCC2
MOV10	RAP2A
CDT1	CDK2
CDKN2D	THAP1
DBNL	DR1
MEF2A	PINX1
TNFRSF14	TNFRSF14
POLA2	PARP1
PTBP1	HSPB1
ARRB2	XRCC6
CTBP1	ZBTB18
YEATS4	PPM1G
XPO1	NEDD4L
PIK3R1	PLCG2
VCAM1	RBM4
SIRT7	TJP1
USP2	CARD9
TSG101	RNF41
MCC	KRT18
SF3B1	DDX39B
FMNL1	NPM1
RAD50	NLRP2
CEP250	TNRC6A
NHLRC1	UBE2D3
MOV10	PCID2
SIRT7	PNPT1
MCM2	ATP5PB
HSPA4	REL
LRRC8A	LRRC8A
GNAI2	SRSF1
INSR	CALM3
MCF2L	UPF1
UBE2N	CHUK
MAP3K3	PRKACG
PARP1	NFKB2
AKT2	CBY1
PARP1	TP53
TP53	THRAP3
TGFBR2	RAB6A
GDAP1	HBB
RHOQ	PRKCI
UPF1	EXOSC10
AHI1	MAPK9
RBBP5	DPY30
CASP3	CASP2
RNF13	AP3D1
DNAJB1	HSPA8
DGCR8	PRMT1
DOT1L	MAPK7
TOMM22	VDAC1
CASP3	MDM2
PRKG1	ITPR1
MAP3K3	TRAF7
PPARG	PRNP
MYC	HSPD1
UBE2D4	UBE2D4
NLRP2	FAF1
PTEN	ANAPC4
RIPK1	TNFRSF1A
EIF3E	LCK
FN1	SNRNP70
CREBBP	ERCC3
PLCG1	SYNCRIP
ERCC4	CUL1
PRKACA	RARA
CNTROB	PXN
RNPS1	THOC2
TGFB3	TGFBR2
G6PD	ERP44
LCK	SYK
PTCH1	PLXNB2
STN1	MED4
PABPC1	PABPC1
SVIL	ACTN1
PRKACA	VIM
CDC23	CDH1
XPO1	MYO10
PEA15	MAPK1
ZC3H3	RAB3IP
CLTC	ZFYVE9
CUL1	CEP68
HDAC6	RPS6
GPS2	MAPK3
DYNLT1	HCFC1
MCF2L	NPM1
OTUD7B	CASP8
FOXP1	VRK3
NMNAT1	NTRK2
ATP6AP2	CD59
HDAC6	XRCC5
WWOX	PEF1
SLC25A13	HSPA9
ZBTB16	CARD9
MAPK1	MAPKAPK2
XPO1	MRTFA
ELAVL1	GNA11
PHB2	RPS27L
ANXA11	ALG2
INTS6	EIF3A
CDK4	POLD1
MGLL	SCD
CCNE2	CDK2
MAP3K3	HIST1H4J
AKT1	RAC1
MLH1	FAN1
HMOX1	STX1A
HERC2	WDR92
FABP5	FKBP1B
FBXW7	SNCA
PRMT5	PABPC1
SMAD2	PSAP
CDH1	GNA13
CDK1	HTRA2
MAVS	BIRC2
TP53	RBX1
VAPA	RAB3GAP1
UBE2S	USP10
TARDBP	PURA
RBM25	EIF4A3
BIRC2	ADRM1
HSP90AA1	SLC34A1
JUN	CALR
CDK4	SMC1A
MAPK3	RALGDS
IRS1	PRKCB
HSF4	MAPK1
MOV10	F2RL1
TADA2A	RNF41
UBE2D4	CADPS2
FOXE1	PBX1
CDC37	FKBP4
SDHAF2	HSPA9
OTUB2	APP
SIAH1	CTNNB1
NPM1	TRMT112
PPP2R2A	DSP
TBCD	IKBKG
VAPA	STT3B
PTK2B	MAP3K4
PTEN	LGALS1
DNM1L	DNM1L
SMAD3	HIPK2
PCNA	MSH2
CRNKL1	SRSF6
HAUS2	SMG1
SMAD7	MYC
MDM2	RPS6
CREB3	CLDN1
EPAS1	XPO1
RHOA	RHPN1
CDK2	ALYREF
RELA	VIM
SUMO1	BLM
HSPD1	CASP3
WWOX	PPP1CA
MEF2A	JUND
NOTCH2	SIN3A
GATA6	MED1
ELAVL1	UBP1
ATRX	PTPN4
EP300	SMAD5
SNIP1	SRSF1
GRB2	KRT1
BAX	CASP9
CDK5	SRC
CBLC	UBE2D2
BRCA1	CCND1
PTK2	VIM
PTGS2	CUL4A
BRCA1	PPP1R9B
SMARCB1	HDAC1
VAPB	RNF111
HSPA1B	ATXN1
NF1	VCP
CD40	HSPA4
PHB2	PTBP1
AGFG1	APP
FN1	SP3
FOXC1	TP53
VHL	SNRNP70
AKT1	GSK3B
ATP5F1B	ATP5F1E
SMARCD3	SMARCA4
RBBP7	HIST1H4F
STAT3	FGFR2
CSNK2A1	CALM1
MYH9	FYN
APC	MYH10
SNRNP200	RBMX
EEF1G	HLTF
CFTR	RCN1
BLM	TEP1
EP300	TACC2
SERPINB9	UBR1
MYC	MBD3
TERF2	YY1
DCLRE1B	MRE11
TERF2	RBM15B
SMAD2	BRCA1
FYN	ADD2
ELAVL1	CCN2
RPA1	SMC4
TMOD1	AGTPBP1
PRKCA	PICK1
RPS6KB2	HNRNPA1
PPP2CA	INTS10
EDA	AP3B1
HSPB1	HSPB1
RCC1	HIST1H4A
HDAC1	SMC4
RNF2	DYNC1H1
XAB2	SRSF1
MBIP	KAT2B
THRA	RXRA
ERBB3	GRB2
EGFR	EPHA2
IKBKB	RELA
CDKN1A	SP110
RBM8A	SMG1
GATA2	HDAC5
HSPA1A	BECN1
MAPK8IP3	MAPK8
CUL3	ACADM
HDAC1	ADH5
CRADD	DCXR
HSP90B1	DDOST
RXRB	MED12
ARRB2	RPS19
PIAS4	ZW10
TRIM23	SIAH1
YWHAG	HDAC7
LAMTOR5	NCOA6
BAG3	RAB4A
ACOT13	SBDS
RB1CC1	SAFB
RARA	NPM1
PFDN5	SKP2
INPP5B	PLCG1
PSMC2	PSME2
MYLIP	KDM1A
AKT2	RPE
CDKN2B	APP
PRKCB	GSK3B
PSIP1	CASP7
TCF4	ABI1
FOXO3	PTPA
MMP7	CD44
CDK1	TFDP1
NEIL1	POLB
PPARGC1A	MED1
ANAPC10	CDC26
COL17A1	KRT18
DSTN	LIMD1
ARF6	RUVBL1
LIG4	FLNA
EGFR	HSPA8
AHR	NR2F1
XPO1	DEPTOR
PDGFRB	PIK3CA
MYC	CCNH
MCC	NFKB2
PRKACA	HAND2
LYN	SMARCC1
GRK2	SNCG
ELAVL1	HES1
AKT1	SLC9A1
KIFC3	ZRANB1
CDK2	PML
ARNT	NCOR2
SGF29	TAF12
TGM2	COL18A1
VCAM1	CLTC
EGFR	HNRNPF
NDUFV2	SEPTIN9
MAPK14	HSF1
SKIL	FBLN1
AQP1	FOS
RYK	AGK
FOXE1	ADNP
CSNK2A1	PRKDC
PTPA	ANXA3
SIVA1	CAMK2G
XPO1	SHC1
AKT2	XIAP
MAP3K5	YWHAG
NDRG1	BCL2L11
MPV17	RHOA
ITCH	CYLD
PARP1	IKBKE
TRIM32	UBE2E1
FBXO6	ACACA
FMNL1	ACTN4
IRS1	FBXW8
CALR	CALR
TERF1	FOXM1
DERL2	SERPINA1
TRIM23	NUDT21
TERF2	TLN1
PCNT	MBD3
SMAD1	TGFBR1
CXXC1	EP300
TAF10	SMARCA4
HDAC1	HDAC1
CLK1	NF1
CDT1	MCM2
USP15	USP14
FOXO1	FOXO1
CUL3	NFKB1
HIP1	RAD23B
PTPN13	PLEKHA1
TAL1	RCOR1
VDAC3	STX12
WDR48	PSME3
IGF2BP1	PCBP2
SLU7	RBM25
SMAD5	COPS5
YWHAE	PHB
CUL4A	CUL1
BIRC3	LTBR
GNAS	GNAS
DNAJC2	DNAJC2
LCK	PLCG1
HNRNPA1	PLOD3
HDAC11	RBM22
OBSL1	SNRNP70
STX5	VAPB
PABPC1	RBMX
TAZ	YWHAE
LATS1	CDK1
PRPF19	SRSF9
FBXW7	MED16
FN1	SUPT5H
EZH2	TRIM28
CALM1	TCF4
CLK1	CLK2
DSP	JUP
LCK	PHB
SQSTM1	TRIB3
CTNNB1	TCF7L1
NAB2	MORF4L1
BARD1	UBE2N
TERF1	FKBP8
NCL	UPF1
NFKB1	RPS13
BRCA1	HIST1H4I
SUMO2	PGD
UBE3A	MYCBP2
NOTCH1	RB1
SIRT1	AKT1
MCM2	CCT5
CUL4B	TFG
RBM14	TOP2B
SMAD2	WRNIP1
XPO1	PXN
RPA1	MYO1E
PSMC3	CXXC1
MORF4L1	THAP1
MRPL58	VHL
IL6ST	JAK2
POLA1	PPP2CA
UBE2B	CTR9
XPO1	WDR82
SNAI1	NOTCH1
KMT2E	TP53
BAZ1B	MBD3
PPP5C	DIS3
EIF2AK2	NLRP3
CAND1	SRSF10
HSP90AB1	RAF1
PSMA2	SKP1
SQSTM1	PTPN13
STK25	MTPAP
VCP	PIK3C2B
PPP2CB	TRAF6
YBX3	RTCB
FBXO6	ITGA3
HNRNPAB	PAK1
HIPK2	FBXW7
VASP	CYFIP2
ATXN1	DIXDC1
KAT2B	ARNTL
IRF3	RELA
HIPK3	SKIL
DDX39B	UBE3A
TP53I3	EEF1G
MAML3	MAML1
EZR	CASP8
DDB1	VTN
RPA1	CUL1
HDAC5	NUP214
OBSL1	EIF3A
ITGB1	ILK
CHUK	PTPN23
SIRT7	NUP214
ANXA7	DVL1
DYNC1H1	SF3B1
MAD2L1BP	MAD2L1BP
PLCG2	DGKD
SLC25A4	HSPD1
PRKCI	TJP1
SLU7	TRA2B
XPC	XPC
VAPB	RAB3GAP1
HDAC6	HSPA2
VAMP7	AP3D1
OTUB1	RACK1
HDAC2	BCL11A
DDX20	RPS6
PPP2R1A	DNAJC7
BCR	TLN1
INTS3	INTS8
RBM25	SRSF6
SYNCRIP	DICER1
EFNB2	SRC
BAIAP2	YWHAH
RPA1	LIMA1
SEPTIN11	SEPTIN9
AGO1	TNRC6A
ATP5F1B	CALR
YWHAG	RACGAP1
SEMA4D	PLXNB1
XPO1	SMAD1
DDOST	IPO9
UBE2D2	BTRC
NFKBIA	RPS27L
UBE2L3	SMAD7
MED1	MED13
POLD1	TBC1D2
PARK7	RBBP7
TSC22D4	P4HA1
CPSF6	SART1
EZR	CLIC4
FOXO4	MAPK8
NR3C1	IL1RN
GRB2	PPP3CB
BMPR1A	OTUB1
SVIL	TNFAIP1
ATXN1	USP7
RARA	PRAME
IL6R	CNTF
PIAS1	NR1H3
OPHN1	CDC42
MIB2	TBK1
MSH2	TAF10
PRPF19	DDX39B
FN1	ARF6
RXRB	NR1H2
GADD45A	ERCC5
DHX9	HINFP
LPAR1	LRRC8A
CDK7	CALCOCO2
PAXIP1	EMD
TFDP1	EPC1
PSMD14	PTPN2
SMAD2	RPS14
EZH2	LIMA1
LDB1	CBFA2T3
CDK2	PPP1R12A
KLF5	PARP1
CSNK2A1	LEO1
XAB2	DDX39B
KLF7	APP
TADA2A	MED17
AKT2	CHUK
LPCAT1	MSTO1
SF3B1	PPM1D
PRPF6	HNRNPH1
HDAC6	DLD
LGR4	PIK3C2A
DNAJA1	TRAF6
NKX3-1	RARG
SIN3A	SAP130
PRMT5	SMARCB1
ERBB2	TFRC
MSN	ROCK2
FKBP8	HSPBP1
CHUK	CALM1
LIMK1	FYN
SP1	PRKRA
RBBP4	ATG5
MBD2	SMC3
MAPK14	AR
EP300	KAT2B
RIF1	STX5
SYNCRIP	ATP5F1C
BAZ1B	SMARCA4
NBN	HSPA4
PRPF19	IKBKE
KAT2A	CUL4A
LHX1	LHX3
NPHP1	NPHP1
FBXW7	MED1
RPS6KA4	RPS6KA4
HNRNPA1	SUFU
SMURF2	DAB2
CDK1	EZH2
DNM1	SH3GLB1
ERCC6	CUL4B
MBD2	MTA2
SNCA	MAPK1
EGFR	DNM1L
FOSL2	YEATS4
HNRNPU	RNPS1
PDE6D	RAP2B
MOV10	PRKCA
CDK5	MAPK1
GRB2	PAK1
RNF2	EHMT2
STK11	LATS1
MYC	XRCC5
TAF10	TAF5L
MAP2K6	MAPK14
EGLN1	SRC
GSK3B	NRBP1
SYNCRIP	WDR83
GRB2	MAPK1
SIRT1	DVL3
ZC3HAV1	PARN
NEK6	CDC42
ITGB1	ITGA1
AR	DNAJC7
ABL2	LGALS3
CUL3	PSMC4
KAT2B	TP63
CD81	PKN1
MAPK8IP2	USP46
NDEL1	PAFAH1B1
RELA	HIF1A
MOV10	ZRANB1
EZH2	U2AF2
XPO1	SEC31A
SEM1	RBM15B
CPSF2	RALBP1
USP15	PRPF31
UBE2L3	VHL
HDAC2	HIF1A
YY1	DDX5
YWHAG	UBE2M
ELAVL1	TENT4B
ATXN1	SLC4A2
PTK2	PKD1
MUL1	UBE2G2
PLK2	SNCA
PRDX1	PRDX5
ADD1	SPTA1
CFL1	DBNL
OPRM1	RELA
CUL1	TIA1
LRP1	GIPC1
SNX6	TGFBR2
TP73	BRD8
ATP6V0D1	RAB2A
ATP5PB	HSPD1
ELAVL1	CCNY
IQCB1	UBE2V1
SLC25A38	SLC25A38
GTPBP4	MOV10
CDK1	CUX1
ANXA1	RPS13
CAND1	RNPS1
CLK1	PRDX5
GIPC1	GIPC1
LATS1	NEDD4
NFKB1	BTRC
KPNB1	IPO9
BRCA1	KDM1A
SF3A1	SRSF6
SKI	PRMT5
PLCG1	PTK2
MCM2	IPO7
RPS6KA5	SMARCA4
APOH	POU2F1
RB1CC1	TP53
USF1	USF1
UBE2M	SAE1
TINF2	TINF2
IGBP1	UBE2B
SET	SET
PIAS4	HDAC1
UBE2A	UBR1
HSPA4	ASH2L
DNM1	UBE2I
NRG1	HSPD1
EZH2	SNRPF
RASSF1	ID1
DNMT1	RBBP4
CREBBP	MDM2
ADRB2	NEDD4
PSMC5	UBE3C
SMAD7	SKP2
CLU	LRP2
RINT1	TSEN54
EIF4A3	HSPA8
PML	SIAH2
SUMO1	RNF4
FBXO6	NDUFS7
RAD9A	CDK1
SF3A1	SRRT
WWP1	TP53BP2
EGFR	PDGFRB
DYNLT1	SIRPA
PPP1CA	CDK4
CLU	BAX
NR1H2	UBE2I
PRMT2	FHOD1
CD9	CD38
TLE5	MAPK1
RGS18	APP
SMAD6	ACVR1
ELAVL1	PARVA
PAXIP1	KIF2C
MOV10	ROR2
NIPBL	MAU2
PCGF2	YY1
PRPF19	THOC5
ADM	ADM
HSP90AA1	LRRK2
KDM1A	BRCA2
ARF6	TRMT112
RNF11	PSMD14
MLH1	KPNA2
MAPK14	MKNK1
HBA2	TSC1
DTX2	NOTCH1
LAMTOR3	UBR1
HAUS2	HSPA1A
KDM5B	KLF10
STX2	STX3
VCP	HNRNPA1
DNM2	RTCB
CREBBP	KLF2
SMC1A	PRPF19
CDKN1B	MAPK8
BAG3	GSTM3
USP7	BRCC3
VIM	NME2
ACTA1	TRIP6
ACIN1	NCBP1
MOV10	DDOST
CDC26	CDH1
ATF2	PRKCQ
CREBBP	JUNB
UBQLN1	DCTPP1
APEX1	WDR77
POLE4	TOP2B
PSEN1	FBXW7
PDGFRB	PDGFB
EIF2B4	EIF2B5
PYCARD	TPM4
IRAK3	IRAK1
PSMC5	TUBB
FYN	PDGFRB
CUL1	RPS6
BIRC2	HTRA2
BMI1	GATA2
TRIM54	OTUB2
SAT1	DDX39A
FBXO6	SERPINH1
TAF7	THRA
RUVBL2	SLC25A4
LRRK2	VIM
RARA	ARNTL
FBXW11	HLTF
HUWE1	PCMT1
CAND1	CAND1
EGFR	HSPA2
PAK1	STK11
CHMP5	USP8
XPO1	CNTROB
BCL2L1	CASP8AP2
SMAD3	NOTCH1
PPM1D	DKK3
PRKCI	MAP2K1
NLK	UBAP2L
UBE2A	PRPF19
PFKL	PRDX3
COPS5	MKNK1
SF1	RBPMS
SYNCRIP	PRPF19
NIN	ERC1
CLTCL1	ATP1A1
TERF1	PGLS
MYC	RCN1
HSPA8	VDAC3
BCL11A	MTA2
BRCA1	UBE2E1
RPA1	RAB14
ILK	CAPRIN1
TFG	ITSN1
MCC	CSNK1E
BAG3	PLCG1
PRKCZ	PTPN12
LAMA1	ITGA1
SMAD3	MYOCD
HPRT1	HPRT1
CYP1B1	PTGS1
UBE2I	DZIP3
HNRNPU	TPD52
TGFBR1	NOTCH1
HAUS1	HSPA1A
SOS1	ANXA2
TRAP1	SF3B1
NCOR1	HSPA4
LDB1	PSMD10
JAK3	STAT3
RPE	MAP2K1
MAPK3	MAP3K14
NCL	SRPK1
ADAM10	AR
HDAC2	SNRNP70
SNRNP200	MCF2L
LGR4	HSPD1
FLNA	MAP3K7
GTPBP4	PRKRA
FBXW11	UBE4B
WBP4	SART1
YWHAG	TSC1
EMD	MCM2
RARA	NRIP1
UBE2D1	CASP8
RPS3	PIAS2
APP	ERCC1
NCOA6	JUN
UBE2K	RING1
MECP2	YY1
ANAPC5	ANAPC7
CRKL	DOCK2
H2AFX	OTUB1
RARA	SRF
ELAVL1	TUT4
BARD1	SNRNP70
CDH1	SRC
TADA3	TAF5L
JAK1	RAF1
TRA2B	SF1
KIF11	KDM4A
MAP3K3	VCP
UHRF2	UBE2I
GSTA1	YWHAE
RPA2	FLNA
XIAP	NEK6
PDXP	ARRB1
SMC2	PLEC
SRF	CREBBP
NF2	SGSM3
RBPJ	TPM1
IBTK	RFC3
CRKL	SYK
CHSY1	CHST3
DNMT3B	SETD7
CUL3	ALDOA
PTPRK	COL6A1
THOC1	TRMT112
NEDD4	RBX1
BARD1	UBE2D3
EIF6	MCC
CLN3	DDX20
PABPC1	RBM15
FOXM1	SMC2
RXRA	BRD8
RIPK2	TAB2
RPGR	TUBB
UNG	RPA2
SETD6	RELA
ELAVL1	TNFRSF21
PICALM	DAB2
BTG1	XRCC6
NFKBIA	PRKCI
ANXA3	SNAP23
CSNK2A1	PPM1A
SAMHD1	SUPT5H
CDC27	BUB3
ACTR5	ACTL6A
XRCC5	SMARCA5
CCNH	MCM7
PHB	IPO11
TRIM5	PSMC5
TARDBP	SNRNP200
PLCG2	SYNJ1
PSIP1	RRS1
MDM4	UBE2D2
ELMO1	USP4
SCNN1B	NEDD4
SMAD2	SMARCA4
TNFRSF8	TRAF2
HMOX2	PTPN1
CDC37	CSNK2A1
LYN	SHC1
MCC	RAP1B
LATS1	LATS1
PTEN	PXN
TADA3	MSH6
SLU7	ACIN1
DDB1	TP73
THOC7	TRMT112
GGCT	APP
DNAJA1	MAP3K3
MCM2	PPIA
IKBKG	RNF7
VCP	RIF1
SMAD6	WWP2
CHCHD3	RAB3IP
LUC7L3	PTPN11
KPNB1	SEH1L
RNF7	CDC34
SRPK1	DUSP6
SREBF1	CDK1
SKI	AKT2
ATF7IP	ERCC2
SH3GLB1	ITCH
ELAVL1	DNAJB9
IKBKB	SRC
POT1	TERF1
BIRC2	CASP2
ZMIZ1	SMAD4
TCF3	DDX20
MALT1	CAMK2G
AKAP8	WDR5
USP2	SORBS3
SMAD2	ST5
NFKB1	BRCA1
CLK1	PRKDC
FANCD2	TERF1
MAP2K1	MAP3K7
TBC1D15	VPS26A
AGTR1	BDKRB2
RFXANK	TRIM28
SMARCB1	PPP1CB
UBE2V1	MID1
CDKN1A	OTUB1
IRS1	YWHAG
RAB7A	STOM
PAK1	MAP2K1
MDM2	KAT2B
PRKCA	VASP
